id,state,title,topic,status,text_status,text,route,milepost,county,source_agency,source_url,lat,lon
MT-1,MT,Marysville Montana,History,fair,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.748368,-112.299758
MT-2,MT,"Park City, Ho! for the States!",History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.598088,-109.065075
MT-3,MT,"Garnets, Vigilantes and Gold Dredges",History,good,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.319997,-112.076496
MT-4,MT,Buffalo Country,History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.089857,-107.660028
MT-5,MT,The Divide Trophy,OTHER,fair,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.914617,-112.377208
MT-6,MT,Beebe,History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.055871,-105.571211
MT-7,MT,Nevada City,History,good,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.307448,-111.968634
MT-9,MT,Old Agency 1880 - 1894,History,good,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,48.433446,-112.703153
MT-10,MT,The Great Highway of the Northwest: the Yell Tr,History,good,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.089837,-107.660074
MT-11,MT,A Booming Little Place,History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.748387,-112.299751
MT-12,MT,Jedediah Smith,History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.218426,-107.249405
MT-14,MT,The Spring Creek Battle,History,,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.898601,-105.019434
MT-15,MT,Fort Connah,History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,47.409129,-114.096661
MT-16,MT,Bozeman Pass,History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.667769,-110.807379
MT-18,MT,Fort Ellis,Lewis & Clark,poor,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.712365,-111.064194
MT-19,MT,The Hell Creek Formation,Geology / natural history,fair,official,"(west-bound) View/Download a PDF of the Road Sign Dinosaurs once ruled the Earth. Fossils of fierce Tyrannosaurus rex, three-horned Triceratops and many other dinosaur species can be found in the rocks of the Hell Creek Formation in eastern Montana. In the early years of the 20th century, cross-country travel by automobile was still an adventure comparable to the covered wagon days of the Old West. Instead of hostile Indians and buffalo stampedes, motorists contended with gumbo mud and rutted dirt tracks that could only marginally be called roads. In May 1916, a group of Spokane businessmen formed the National Parks Highway Association to promote an automobile route between Chicago and Seattle and designated a 3,100-mile route between the two cities as the National Parks Highway. The highway was little more than a patchwork of interconnected and unimproved county roads. In June 1916, Frank Guilbert set out with three companions in two Mitchell Six automobiles to blaze the route. For a month, the expedition battled its way across the northern tier of states, including a very rainy trip across Montana, before arriving in Seattle. The mission proved the feasibility of the National Parks Highway and its potential for tourism and commerce. By 1926, the road was known as U.S. Highway 10 and, in 1971, Interstate 94 superseded the old route.",,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.269054,-106.306452
MT-20,MT,Red Lodge Country,History,excellent,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.177702,-109.247586
MT-21,MT,The Montana - Utah Road,History,good,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,44.853497,-112.795186
MT-22,MT,The Hell Creek Formation,Geology / natural history,poor,official,"(west-bound) View/Download a PDF of the Road Sign Dinosaurs once ruled the Earth. Fossils of fierce Tyrannosaurus rex, three-horned Triceratops and many other dinosaur species can be found in the rocks of the Hell Creek Formation in eastern Montana. In the early years of the 20th century, cross-country travel by automobile was still an adventure comparable to the covered wagon days of the Old West. Instead of hostile Indians and buffalo stampedes, motorists contended with gumbo mud and rutted dirt tracks that could only marginally be called roads. In May 1916, a group of Spokane businessmen formed the National Parks Highway Association to promote an automobile route between Chicago and Seattle and designated a 3,100-mile route between the two cities as the National Parks Highway. The highway was little more than a patchwork of interconnected and unimproved county roads. In June 1916, Frank Guilbert set out with three companions in two Mitchell Six automobiles to blaze the route. For a month, the expedition battled its way across the northern tier of states, including a very rainy trip across Montana, before arriving in Seattle. The mission proved the feasibility of the National Parks Highway and its potential for tourism and commerce. By 1926, the road was known as U.S. Highway 10 and, in 1971, Interstate 94 superseded the old route.",,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,46.261286,-106.279585
MT-23,MT,The Divide Valley,Geology / natural history,good,pending,,,,,Montana Department of Transportation,https://gis.mtmdt.us/server/rest/services/MDTGIS/Historical_Highway_Marker/MapServer/0,45.836593,-112.685628
